STATION,DATE,DLY-TMAX-NORMAL
USW00023062,01-01,43.9
USW00023062,01-02,44
USW00023062,01-03,44.1
USW00023062,01-04,44.2
USW00023062,01-05,44.3
USW00023062,01-06,44.4
USW00023062,01-07,44.5
USW00023062,01-08,44.5
USW00023062,01-09,44.6
USW00023062,01-10,44.6
USW00023062,01-11,44.7
USW00023062,01-12,44.7
USW00023062,01-13,44.7
USW00023062,01-14,44.7
USW00023062,01-15,44.7
USW00023062,01-16,44.7
USW00023062,01-17,44.7
USW00023062,01-18,44.7
USW00023062,01-19,44.7
USW00023062,01-20,44.7
USW00023062,01-21,44.6
USW00023062,01-22,44.6
USW00023062,01-23,44.6
USW00023062,01-24,44.5
USW00023062,01-25,44.5
USW00023062,01-26,44.5
USW00023062,01-27,44.4
USW00023062,01-28,44.4
USW00023062,01-29,44.4
USW00023062,01-30,44.4
USW00023062,01-31,44.4
USW00023062,02-01,44.4
USW00023062,02-02,44.4
USW00023062,02-03,44.4
USW00023062,02-04,44.5
USW00023062,02-05,44.5
USW00023062,02-06,44.6
USW00023062,02-07,44.7
USW00023062,02-08,44.7
USW00023062,02-09,44.9
USW00023062,02-10,45
USW00023062,02-11,45.1
USW00023062,02-12,45.3
USW00023062,02-13,45.4
USW00023062,02-14,45.6
USW00023062,02-15,45.8
USW00023062,02-16,46
USW00023062,02-17,46.2
USW00023062,02-18,46.4
USW00023062,02-19,46.7
USW00023062,02-20,46.9
USW00023062,02-21,47.2
USW00023062,02-22,47.5
USW00023062,02-23,47.7
USW00023062,02-24,48
USW00023062,02-25,48.3
USW00023062,02-26,48.6
USW00023062,02-27,48.9
USW00023062,02-28,49.2
USW00023062,03-01,49.5
USW00023062,03-02,49.8
USW00023062,03-03,50.1
USW00023062,03-04,50.4
USW00023062,03-05,50.8
USW00023062,03-06,51.1
USW00023062,03-07,51.4
USW00023062,03-08,51.6
USW00023062,03-09,51.9
USW00023062,03-10,52.2
USW00023062,03-11,52.5
USW00023062,03-12,52.8
USW00023062,03-13,53
USW00023062,03-14,53.3
USW00023062,03-15,53.6
USW00023062,03-16,53.8
USW00023062,03-17,54.1
USW00023062,03-18,54.3
USW00023062,03-19,54.5
USW00023062,03-20,54.7
USW00023062,03-21,55
USW00023062,03-22,55.2
USW00023062,03-23,55.4
USW00023062,03-24,55.6
USW00023062,03-25,55.8
USW00023062,03-26,56
USW00023062,03-27,56.2
USW00023062,03-28,56.4
USW00023062,03-29,56.6
USW00023062,03-30,56.8
USW00023062,03-31,57
USW00023062,04-01,57.2
USW00023062,04-02,57.4
USW00023062,04-03,57.6
USW00023062,04-04,57.8
USW00023062,04-05,58.1
USW00023062,04-06,58.3
USW00023062,04-07,58.5
USW00023062,04-08,58.7
USW00023062,04-09,59
USW00023062,04-10,59.2
USW00023062,04-11,59.5
USW00023062,04-12,59.7
USW00023062,04-13,60
USW00023062,04-14,60.3
USW00023062,04-15,60.5
USW00023062,04-16,60.8
USW00023062,04-17,61.1
USW00023062,04-18,61.4
USW00023062,04-19,61.7
USW00023062,04-20,62
USW00023062,04-21,62.3
USW00023062,04-22,62.7
USW00023062,04-23,63
USW00023062,04-24,63.3
USW00023062,04-25,63.6
USW00023062,04-26,64
USW00023062,04-27,64.3
USW00023062,04-28,64.6
USW00023062,04-29,65
USW00023062,04-30,65.3
USW00023062,05-01,65.6
USW00023062,05-02,66
USW00023062,05-03,66.3
USW00023062,05-04,66.6
USW00023062,05-05,67
USW00023062,05-06,67.3
