"STATION","DATE","DLY-TMIN-NORMAL"
"USW00023062","01-01","16.7"
"USW00023062","01-02","16.7"
"USW00023062","01-03","16.8"
"USW00023062","01-04","16.9"
"USW00023062","01-05","17.0"
"USW00023062","01-06","17.0"
"USW00023062","01-07","17.1"
"USW00023062","01-08","17.2"
"USW00023062","01-09","17.2"
"USW00023062","01-10","17.3"
"USW00023062","01-11","17.3"
"USW00023062","01-12","17.4"
"USW00023062","01-13","17.4"
"USW00023062","01-14","17.5"
"USW00023062","01-15","17.5"
"USW00023062","01-16","17.5"
"USW00023062","01-17","17.5"
"USW00023062","01-18","17.6"
"USW00023062","01-19","17.6"
"USW00023062","01-20","17.6"
"USW00023062","01-21","17.6"
"USW00023062","01-22","17.6"
"USW00023062","01-23","17.6"
"USW00023062","01-24","17.7"
"USW00023062","01-25","17.7"
"USW00023062","01-26","17.7"
"USW00023062","01-27","17.7"
"USW00023062","01-28","17.7"
"USW00023062","01-29","17.8"
"USW00023062","01-30","17.8"
"USW00023062","01-31","17.8"
"USW00023062","02-01","17.9"
"USW00023062","02-02","17.9"
"USW00023062","02-03","18.0"
"USW00023062","02-04","18.0"
"USW00023062","02-05","18.1"
"USW00023062","02-06","18.2"
"USW00023062","02-07","18.3"
"USW00023062","02-08","18.4"
"USW00023062","02-09","18.5"
"USW00023062","02-10","18.6"
"USW00023062","02-11","18.8"
"USW00023062","02-12","18.9"
"USW00023062","02-13","19.1"
"USW00023062","02-14","19.2"
"USW00023062","02-15","19.4"
"USW00023062","02-16","19.6"
"USW00023062","02-17","19.8"
"USW00023062","02-18","20.0"
"USW00023062","02-19","20.2"
"USW00023062","02-20","20.4"
"USW00023062","02-21","20.6"
"USW00023062","02-22","20.8"
"USW00023062","02-23","21.1"
"USW00023062","02-24","21.3"
"USW00023062","02-25","21.6"
"USW00023062","02-26","21.8"
"USW00023062","02-27","22.1"
"USW00023062","02-28","22.4"
"USW00023062","02-29","22.5"
"USW00023062","03-01","22.6"
"USW00023062","03-02","22.9"
"USW00023062","03-03","23.1"
"USW00023062","03-04","23.4"
"USW00023062","03-05","23.7"
"USW00023062","03-06","23.9"
"USW00023062","03-07","24.2"
"USW00023062","03-08","24.5"
"USW00023062","03-09","24.7"
"USW00023062","03-10","25.0"
"USW00023062","03-11","25.3"
"USW00023062","03-12","25.5"
"USW00023062","03-13","25.8"
"USW00023062","03-14","26.0"
"USW00023062","03-15","26.3"
"USW00023062","03-16","26.5"
"USW00023062","03-17","26.7"
"USW00023062","03-18","27.0"
"USW00023062","03-19","27.2"
"USW00023062","03-20","27.4"
"USW00023062","03-21","27.7"
